Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
356_42week,4,0,2,6,6,6,28.88,3.92,10.68,31.92,38.36,30.92,13.2224,9.80783,11.2645,14.2652,12.5945,12.6916,2,14.49333333,11.43157667,6,33.73333333,13.18376667,4,24.11333333,12.30767167
357_42week,6,7,3,6,4,6,37.28,31.88,15.56,35.24,30.76,28.2,12.8169,15.0098,14.1343,15.1309,12.0765,11.767,5.333333333,28.24,13.987,5.333333333,31.4,12.99146667,5.333333333,29.82,13.48923333
358_42week,7,,5,5,1,5,39.68,,43.88,28.76,5.32,31.52,13.4846,,11.9161,9.74104,10.3114,10.7117,6,41.78,12.70035,3.666666667,21.86666667,10.25471333,4.6,29.832,11.232968
359_42week,7,6,5,3,3,1,41.08,22.76,25.2,8.16,12.76,5.56,13.9423,15.1785,9.08194,15.6164,11.9659,9.83337,6,29.68,12.73424667,2.333333333,8.826666667,12.47189,4.166666667,19.25333333,12.60306833
360_42week,6,7,2,3,3,4,47.8,29.12,22.72,30.48,32.52,28.04,14.1881,13.2207,10.1775,9.65981,9.61807,10.3434,5,33.21333333,12.52876667,3.333333333,30.34666667,9.87376,4.166666667,31.78,11.20126333
361_42week,9,0,6,3,2,4,35.48,6.6,36.72,26.76,13.64,24.32,15.8295,7.83141,13.0393,11.3447,8.08456,9.85378,5,26.26666667,12.23340333,3,21.57333333,9.761013333,4,23.92,10.99720833
362_42week,6,10,6,4,1,4,30.48,30.28,22.72,25.76,6.76,27.32,11.4944,19.3162,10.1496,10.2489,7.06857,9.42258,7.333333333,27.82666667,13.6534,3,19.94666667,8.91335,5.166666667,23.88666667,11.283375
363_42week,8,3,5,7,8,5,35.76,14.64,30.88,30.28,40.4,39.04,16.1073,13.5484,14.1002,12.266,12.0725,11.0624,5.333333333,27.09333333,14.5853,6.666666667,36.57333333,11.8003,6,31.83333333,13.1928
364_42week,7,6,3,8,1,2,40.08,33.52,11.96,34.96,7,14.64,12.7016,14.098,11.564,13.926,11.2554,10.2343,5.333333333,28.52,12.78786667,3.666666667,18.86666667,11.80523333,4.5,23.69333333,12.29655
365_42week,7,3,9,2,1,4,25.92,14.32,34.8,16.48,8.84,16.84,15.2975,16.3211,17.346,12.869,14.7471,14.4611,6.333333333,25.01333333,16.32153333,2.333333333,14.05333333,14.02573333,4.333333333,19.53333333,15.17363333
366_42week,3,6,6,0,7,2,17.16,25.32,24.04,1.2,24.8,9.48,13.2825,15.1698,16.19,11.3939,16.8772,15.0899,5,22.17333333,14.88076667,3,11.82666667,14.45366667,4,17,14.66721667
367_42week,5,7,1,1,3,5,30.24,31.52,22.84,19.32,30.32,39.04,13.9263,13.1295,9.05047,7.9677,11.1427,10.9399,4.333333333,28.2,12.03542333,3,29.56,10.01676667,3.666666667,28.88,11.026095
